Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
138,Tyler Dorsey\dorsety01,SG,22,TOT,29,0,269,37,97,.381,12,43,.279,25,54,.463,.443,17,28,.607,12,36,48,18,7,1,11,22,103
138,Tyler Dorsey\dorsety01,SG,22,ATL,27,0,251,32,89,.360,10,39,.256,22,50,.440,.416,16,26,.615,9,34,43,17,7,1,10,20,90
138,Tyler Dorsey\dorsety01,SG,22,MEM,2,0,18,5,8,.625,2,4,.500,3,4,.750,.750,1,2,.500,3,2,5,1,0,0,1,2,13
139,Damyean Dotson\dotsoda01,SG,24,NYK,52,19,1299,190,448,.424,82,212,.387,108,236,.458,.516,48,67,.716,29,151,180,75,44,7,38,93,510
140,PJ Dozier\doziepj01,SG,22,BOS,4,0,10,3,6,.500,1,2,.500,2,4,.500,.583,0,0,,2,2,4,0,0,0,0,1,7
141,Goran Dragic\dragigo01,PG,32,MIA,16,14,446,84,206,.408,22,74,.297,62,132,.470,.461,38,50,.760,8,35,43,72,10,4,38,34,228
142,Andre Drummond\drumman01,C,25,DET,56,56,1856,411,773,.532,4,33,.121,407,740,.550,.534,161,286,.563,289,557,846,65,94,99,128,191,987
143,Jared Dudley\dudleja01,PF,33,BRK,44,25,951,77,190,.405,39,121,.322,38,69,.551,.508,22,35,.629,25,95,120,65,28,13,37,105,215
144,Kris Dunn\dunnkr01,PG,24,CHI,33,31,1024,158,366,.432,19,60,.317,139,306,.454,.458,40,51,.784,10,125,135,207,47,16,82,117,375
145,Kevin Durant\duranke01,PF,30,GSW,60,60,2127,582,1128,.516,113,307,.368,469,821,.571,.566,373,418,.892,32,386,418,347,47,71,182,118,1650
146,Trevon Duval\duvaltr01,PG,20,MIL,3,0,6,2,3,.667,1,1,1.000,1,2,.500,.833,0,0,,0,1,1,2,0,0,0,0,5
147,Vince Edwards\edwarvi01,SF,22,HOU,2,0,16,1,4,.250,1,4,.250,0,0,,.375,0,0,,1,1,2,0,0,0,0,0,3
148,Henry Ellenson\ellenhe01,PF,22,TOT,4,0,65,9,22,.409,5,11,.455,4,11,.364,.523,2,2,1.000,0,18,18,6,2,0,1,4,25
148,Henry Ellenson\ellenhe01,PF,22,DET,2,0,25,4,10,.400,2,4,.500,2,6,.333,.500,2,2,1.000,0,9,9,1,0,0,0,2,12
148,Henry Ellenson\ellenhe01,PF,22,NYK,2,0,40,5,12,.417,3,7,.429,2,5,.400,.542,0,0,,0,9,9,5,2,0,1,2,13
149,Wayne Ellington\ellinwa01,SG,31,TOT,30,15,672,84,230,.365,69,196,.352,15,34,.441,.515,16,19,.842,6,54,60,34,27,3,18,52,253
149,Wayne Ellington\ellinwa01,SG,31,MIA,25,12,533,69,184,.375,57,155,.368,12,29,.414,.530,14,16,.875,6,41,47,29,24,3,14,40,209
149,Wayne Ellington\ellinwa01,SG,31,DET,5,3,139,15,46,.326,12,41,.293,3,5,.600,.457,2,3,.667,0,13,13,5,3,0,4,12,44
150,Joel Embiid\embiijo01,C,24,PHI,54,54,1822,483,1002,.482,64,217,.295,419,785,.534,.514,443,546,.811,134,594,728,188,32,105,194,182,1473
151,James Ennis\ennisja01,SF,28,TOT,45,25,1004,107,225,.476,46,127,.362,61,98,.622,.578,44,60,.733,37,85,122,31,39,16,25,117,304
151,James Ennis\ennisja01,SF,28,HOU,40,25,949,104,211,.493,44,120,.367,60,91,.659,.597,42,58,.724,37,80,117,27,38,16,23,111,294
151,James Ennis\ennisja01,SF,28,PHI,5,0,55,3,14,.214,2,7,.286,1,7,.143,.286,2,2,1.000,0,5,5,4,1,0,2,6,10
152,Drew Eubanks\eubandr01,PF,21,SAS,15,0,73,14,19,.737,0,0,,14,19,.737,.737,9,11,.818,1,15,16,3,1,2,4,7,37
153,Jacob Evans\evansja02,SG,21,GSW,23,0,99,6,25,.240,1,6,.167,5,19,.263,.260,0,1,.000,1,8,9,13,1,1,6,13,13
154,Jawun Evans\evansja01,PG,22,PHO,7,0,64,3,13,.231,0,2,.000,3,11,.273,.231,0,0,,1,11,12,10,3,0,6,8,6
155,Tyreke Evans\evansty01,SG,29,IND,54,15,1088,198,511,.387,64,178,.360,134,333,.402,.450,89,117,.761,27,120,147,130,52,15,93,90,549
156,Dante Exum\exumda01,PG,23,UTA,39,1,637,101,234,.432,18,59,.305,83,175,.474,.470,68,86,.791,15,50,65,107,14,5,46,63,288
157,Kenneth Faried\farieke01,C,29,TOT,27,13,557,122,203,.601,7,18,.389,115,185,.622,.618,47,76,.618,78,115,193,18,12,19,25,59,298
157,Kenneth Faried\farieke01,C,29,BRK,12,0,118,25,42,.595,1,5,.200,24,37,.649,.607,10,16,.625,15,29,44,2,2,4,6,8,61
157,Kenneth Faried\farieke01,C,29,HOU,15,13,439,97,161,.602,6,13,.462,91,148,.615,.621,37,60,.617,63,86,149,16,10,15,19,51,237
158,Derrick Favors\favorde01,C,27,UTA,58,52,1348,260,453,.574,14,64,.219,246,389,.632,.589,113,171,.661,151,265,416,62,42,80,63,124,647
159,Cristiano Felicio\feliccr01,C,26,CHI,39,0,401,50,93,.538,0,2,.000,50,91,.549,.538,25,37,.676,37,72,109,19,5,4,17,37,125
160,Raymond Felton\feltora01,PG,34,OKC,19,0,224,37,93,.398,10,39,.256,27,54,.500,.452,10,11,.909,3,20,23,35,8,4,11,18,94
161,Terrance Ferguson\fergute01,SG,20,OKC,52,52,1275,132,302,.437,74,195,.379,58,107,.542,.560,19,30,.633,24,66,90,42,30,12,27,167,357
162,Yogi Ferrell\ferreyo01,PG,25,SAC,50,3,751,108,247,.437,38,104,.365,70,143,.490,.514,41,47,.872,11,70,81,101,27,4,23,39,295
163,Dorian Finney-Smith\finnedo01,SF,25,DAL,60,21,1532,177,389,.455,61,183,.333,116,206,.563,.533,57,84,.679,105,190,295,56,60,29,60,141,472
164,Bryn Forbes\forbebr01,PG,25,SAS,62,61,1771,274,627,.437,130,323,.402,144,304,.474,.541,61,67,.910,14,165,179,137,37,3,67,133,739
165,Evan Fournier\fournev01,SG,26,ORL,61,61,1930,347,809,.429,116,353,.329,231,456,.507,.501,105,132,.795,30,160,190,226,55,9,124,176,915
166,De'Aaron Fox\foxde01,PG,21,SAC,59,59,1858,367,804,.456,65,174,.374,302,630,.479,.497,222,307,.723,34,180,214,423,100,32,176,151,1021
167,Melvin Frazier\frazime01,SG,22,ORL,7,0,32,6,14,.429,0,3,.000,6,11,.545,.429,0,0,,2,1,3,0,1,0,1,4,12
168,Tim Frazier\fraziti01,PG,28,NOP,47,17,909,88,195,.451,27,77,.351,61,118,.517,.521,32,41,.780,32,105,137,206,25,4,60,93,235
169,Channing Frye\fryech01,C,35,CLE,29,5,275,32,89,.360,24,60,.400,8,29,.276,.494,9,12,.750,4,39,43,16,5,4,10,35,97
170,Markelle Fultz\fultzma01,PG,20,PHI,19,15,427,65,155,.419,4,14,.286,61,141,.433,.432,21,37,.568,26,44,70,59,17,5,25,52,155
171,Danilo Gallinari\gallida01,SF,30,LAC,51,51,1558,289,641,.451,123,281,.438,166,360,.461,.547,260,286,.909,42,259,301,124,37,18,74,101,961
172,Langston Galloway\gallola01,SG,27,DET,57,4,1191,155,404,.384,89,265,.336,66,139,.475,.494,48,59,.814,34,95,129,59,26,5,18,88,447
173,Marc Gasol\gasolma01,C,34,TOT,59,54,1912,326,732,.445,79,225,.351,247,507,.487,.499,158,213,.742,64,426,490,272,65,68,127,162,889
173,Marc Gasol\gasolma01,C,34,MEM,53,53,1788,303,683,.444,76,221,.344,227,462,.491,.499,152,201,.756,56,399,455,248,60,63,119,147,834
173,Marc Gasol\gasolma01,C,34,TOR,6,1,124,23,49,.469,3,4,.750,20,45,.444,.500,6,12,.500,8,27,35,24,5,5,8,15,55
174,Pau Gasol\gasolpa01,C,38,SAS,27,6,330,41,88,.466,5,10,.500,36,78,.462,.494,27,38,.711,22,105,127,50,5,14,14,28,114
175,Rudy Gay\gayru01,PF,32,SAS,51,47,1380,291,563,.517,57,133,.429,234,430,.544,.567,90,105,.857,47,281,328,131,43,30,84,127,729
176,Paul George\georgpa01,SF,28,OKC,59,59,2163,557,1243,.448,228,573,.398,329,670,.491,.540,347,411,.844,82,396,478,251,135,26,153,165,1689
177,Taj Gibson\gibsota01,PF,33,MIN,59,56,1475,256,458,.559,11,33,.333,245,425,.576,.571,107,141,.759,146,241,387,69,47,33,64,159,630
178,Harry Giles\gilesha01,PF,20,SAC,47,0,616,124,250,.496,0,5,.000,124,245,.506,.496,45,70,.643,50,119,169,61,26,15,56,125,293
179,Shai Gilgeous-Alexander\gilgesh01,PG,20,LAC,62,53,1586,230,506,.455,30,97,.309,200,409,.489,.484,113,140,.807,42,124,166,186,68,35,115,124,603
180,Rudy Gobert\goberru01,C,26,UTA,59,58,1877,333,509,.654,0,0,,333,509,.654,.654,241,365,.660,223,539,762,130,53,128,95,166,907
181,Brandon Goodwin\goodwbr01,PG,23,DEN,16,0,57,6,23,.261,2,6,.333,4,17,.235,.304,9,11,.818,1,2,3,14,0,0,3,7,23
182,Aaron Gordon\gordoaa01,PF,23,ORL,58,58,1935,341,768,.444,86,257,.335,255,511,.499,.500,149,206,.723,95,326,421,207,43,40,118,136,917
183,Eric Gordon\gordoer01,SG,30,HOU,48,33,1562,272,696,.391,135,417,.324,137,279,.491,.488,102,127,.803,15,105,120,101,29,21,70,107,781
184,Marcin Gortat\gortama01,C,34,LAC,47,43,751,99,186,.532,0,0,,99,186,.532,.532,35,48,.729,67,194,261,65,6,24,50,92,233
185,Devonte' Graham\grahade01,PG,23,CHO,31,3,403,48,130,.369,23,75,.307,25,55,.455,.458,16,22,.727,3,34,37,68,17,2,21,31,135
186,Treveon Graham\grahatr01,SG,25,BRK,23,17,510,42,127,.331,23,84,.274,19,43,.442,.421,14,18,.778,16,50,66,24,8,5,14,54,121
187,Jerami Grant\grantje01,PF,24,OKC,58,55,1877,289,554,.522,70,181,.387,219,373,.587,.585,118,169,.698,60,237,297,55,52,80,47,155,766
188,Jerian Grant\grantje02,PG,26,ORL,50,1,831,75,186,.403,30,90,.333,45,96,.469,.484,23,34,.676,17,69,86,139,40,5,46,68,203
189,Donte Grantham\grantdo01,SF,23,OKC,1,0,2,0,1,.000,0,1,.000,0,0,,.000,0,0,,0,0,0,0,0,0,0,0,0
190,Danny Green\greenda02,SG,31,TOR,60,60,1707,214,478,.448,137,319,.429,77,159,.484,.591,28,31,.903,50,198,248,85,53,43,54,139,593
191,Draymond Green\greendr01,PF,28,GSW,45,45,1400,126,291,.433,28,113,.248,98,178,.551,.481,46,65,.708,43,293,336,328,67,47,118,143,326
192,Gerald Green\greenge01,SG,33,HOU,56,0,1185,191,460,.415,124,350,.354,67,110,.609,.550,39,49,.796,26,120,146,34,21,23,43,107,545
193,JaMychal Green\greenja01,PF,28,TOT,47,4,1017,169,346,.488,48,116,.414,121,230,.526,.558,69,88,.784,78,214,292,39,38,30,70,140,455
193,JaMychal Green\greenja01,PF,28,MEM,41,4,900,151,312,.484,38,96,.396,113,216,.523,.545,63,80,.788,72,180,252,36,33,26,64,123,403
193,JaMychal Green\greenja01,PF,28,LAC,6,0,117,18,34,.529,10,20,.500,8,14,.571,.676,6,8,.750,6,34,40,3,5,4,6,17,52
194,Jeff Green\greenje02,PF,32,WAS,58,32,1611,248,526,.471,89,244,.365,159,282,.564,.556,134,149,.899,51,204,255,117,28,31,78,125,719
195,Blake Griffin\griffbl01,PF,29,DET,57,57,2050,499,1052,.474,143,391,.366,356,661,.539,.542,332,444,.748,78,377,455,309,40,23,209,160,1473
196,Daniel Hamilton\hamilda02,SG,23,ATL,19,3,204,23,60,.383,8,23,.348,15,37,.405,.450,3,6,.500,10,37,47,22,6,1,16,19,57
197,Tim Hardaway\hardati02,SG,26,TOT,54,53,1732,329,839,.392,136,397,.343,193,442,.437,.473,218,258,.845,30,158,188,139,48,7,94,119,1012
197,Tim Hardaway\hardati02,SG,26,NYK,46,46,1499,282,726,.388,117,337,.347,165,389,.424,.469,199,233,.854,26,135,161,122,42,6,81,106,880
197,Tim Hardaway\hardati02,SG,26,DAL,8,7,233,47,113,.416,19,60,.317,28,53,.528,.500,19,25,.760,4,23,27,17,6,1,13,13,132
198,James Harden\hardeja01,SG,29,HOU,56,56,2092,599,1361,.440,276,753,.367,323,608,.531,.542,560,643,.871,53,318,371,427,119,42,304,183,2034
199,Maurice Harkless\harklma01,SF,25,POR,40,33,868,105,225,.467,23,77,.299,82,148,.554,.518,23,34,.676,45,116,161,37,39,34,29,110,256
200,Montrezl Harrell\harremo01,C,25,LAC,62,4,1628,406,646,.628,1,11,.091,405,635,.638,.629,195,311,.627,142,262,404,115,56,87,90,192,1008
201,Devin Harris\harride01,PG,35,DAL,48,0,722,95,233,.408,41,134,.306,54,99,.545,.496,68,89,.764,7,67,74,67,29,11,37,85,299
202,Gary Harris\harriga01,SG,24,DEN,35,27,1021,181,427,.424,53,167,.317,128,260,.492,.486,85,106,.802,22,81,103,90,35,14,42,76,500
203,Joe Harris\harrijo01,SG,27,BRK,57,57,1718,287,567,.506,140,293,.478,147,274,.536,.630,81,95,.853,37,167,204,147,29,11,87,146,795
204,Tobias Harris\harrito02,PF-SF,26,TOT,62,62,2144,478,954,.501,128,301,.425,350,653,.536,.568,211,243,.868,42,447,489,168,42,30,117,140,1295
204,Tobias Harris\harrito02,PF,26,LAC,55,55,1903,424,855,.496,112,258,.434,312,597,.523,.561,192,219,.877,37,395,432,150,40,24,109,123,1152
204,Tobias Harris\harrito02,SF,26,PHI,7,7,241,54,99,.545,16,43,.372,38,56,.679,.626,19,24,.792,5,52,57,18,2,6,8,17,143
205,Andrew Harrison\harrian01,SG-PG,24,TOT,17,0,187,16,53,.302,5,25,.200,11,28,.393,.349,17,18,.944,6,14,20,24,4,2,12,34,54
205,Andrew Harrison\harrian01,PG,24,MEM,1,0,5,1,2,.500,0,1,.000,1,1,1.000,.500,0,0,,0,0,0,0,0,0,0,1,2
205,Andrew Harrison\harrian01,SG,24,CLE,10,0,144,12,39,.308,3,14,.214,9,25,.360,.346,16,16,1.000,4,11,15,17,4,2,10,26,43
205,Andrew Harrison\harrian01,SG,24,NOP,6,0,38,3,12,.250,2,10,.200,1,2,.500,.333,1,2,.500,2,3,5,7,0,0,2,7,9
206,Shaquille Harrison\harrish01,PG,25,CHI,52,0,896,99,249,.398,17,65,.262,82,184,.446,.432,52,82,.634,17,118,135,86,62,19,38,82,267
207,Josh Hart\hartjo01,SG,23,LAL,57,21,1479,167,411,.406,81,243,.333,86,168,.512,.505,49,72,.681,32,190,222,82,57,35,55,130,464
208,Isaiah Hartenstein\harteis01,PF,20,HOU,27,0,220,20,41,.488,2,6,.333,18,35,.514,.512,11,14,.786,21,26,47,14,7,12,13,56,53
209,Udonis Haslem\hasleud01,C,38,MIA,4,0,15,2,6,.333,0,2,.000,2,4,.500,.333,0,0,,1,5,6,0,0,0,2,3,4
210,Gordon Hayward\haywago01,PF,28,BOS,55,17,1426,214,493,.434,65,196,.332,149,297,.502,.500,114,133,.857,44,204,248,190,51,19,81,81,607
211,John Henson\hensojo01,C,28,MIL,14,0,188,31,67,.463,11,31,.355,20,36,.556,.545,6,10,.600,16,55,71,14,7,11,12,16,79
212,Juan Hernangomez\hernaju01,PF,23,DEN,56,25,1239,133,291,.457,64,165,.388,69,126,.548,.567,64,84,.762,62,186,248,48,24,22,34,78,394
213,Willy Hernangomez\hernawi01,C,24,CHO,45,2,617,120,233,.515,13,30,.433,107,203,.527,.543,75,111,.676,91,158,249,41,11,15,45,79,328
214,Mario Hezonja\hezonma01,SF,23,NYK,48,14,916,140,353,.397,33,119,.277,107,234,.457,.443,54,77,.701,21,156,177,49,45,6,56,83,367
215,Isaiah Hicks\hicksis01,PF,24,NYK,1,0,4,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,1,0,0,0,0,1
216,Buddy Hield\hieldbu01,SG,26,SAC,60,60,1897,461,970,.475,203,453,.448,258,517,.499,.580,114,134,.851,80,232,312,138,33,23,118,145,1239
217,Haywood Highsmith\highsha01,SF,22,PHI,2,0,9,1,2,.500,1,2,.500,0,0,,.750,0,0,,0,1,1,2,0,0,0,0,3
218,Nene Hilario\hilarne01,C,36,HOU,30,2,402,46,82,.561,0,2,.000,46,80,.575,.561,26,35,.743,23,67,90,19,15,12,7,63,118
219,George Hill\hillge01,PG,32,TOT,47,13,1037,125,282,.443,37,114,.325,88,168,.524,.509,47,57,.825,30,85,115,110,43,7,40,81,334
219,George Hill\hillge01,PG,32,CLE,13,13,344,55,107,.514,13,28,.464,42,79,.532,.575,17,20,.850,12,15,27,36,12,1,20,35,140
219,George Hill\hillge01,PG,32,MIL,34,0,693,70,175,.400,24,86,.279,46,89,.517,.469,30,37,.811,18,70,88,74,31,6,20,46,194
220,Solomon Hill\hillso01,SF,27,NOP,35,15,712,50,129,.388,20,70,.286,30,59,.508,.465,19,27,.704,30,78,108,44,18,8,23,61,139
221,Aaron Holiday\holidaa01,PG,22,IND,37,0,438,73,191,.382,28,95,.295,45,96,.469,.455,30,34,.882,4,50,54,56,15,12,26,47,204
222,Jrue Holiday\holidjr01,SG,28,NOP,62,62,2237,500,1063,.470,106,329,.322,394,734,.537,.520,199,260,.765,74,240,314,487,101,53,192,136,1305
223,Justin Holiday\holidju01,SG,29,TOT,62,57,2010,221,596,.371,124,366,.339,97,230,.422,.475,65,73,.890,29,225,254,123,91,28,80,120,631
223,Justin Holiday\holidju01,SG,29,CHI,38,38,1325,151,394,.383,97,270,.359,54,124,.435,.506,41,46,.891,19,150,169,85,67,21,47,79,440
223,Justin Holiday\holidju01,SG,29,MEM,24,19,685,70,202,.347,27,96,.281,43,106,.406,.413,24,27,.889,10,75,85,38,24,7,33,41,191
224,John Holland\hollajo02,SF,30,CLE,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
225,Rondae Hollis-Jefferson\holliro01,SF,24,BRK,49,21,1091,169,417,.405,9,45,.200,160,372,.430,.416,102,157,.650,67,195,262,82,34,23,55,94,449
226,Richaun Holmes\holmeri01,C,25,PHO,56,2,925,177,273,.648,0,0,,177,273,.648,.648,92,128,.719,92,162,254,47,31,64,42,152,446
227,Rodney Hood\hoodro01,SG,26,TOT,52,45,1385,216,499,.433,62,170,.365,154,329,.468,.495,105,117,.897,19,103,122,98,44,7,37,113,599
227,Rodney Hood\hoodro01,SG,26,CLE,45,45,1234,194,454,.427,55,152,.362,139,302,.460,.488,104,114,.912,18,94,112,92,38,5,36,101,547
227,Rodney Hood\hoodro01,SG,26,POR,7,0,151,22,45,.489,7,18,.389,15,27,.556,.567,1,3,.333,1,9,10,6,6,2,1,12,52
228,Al Horford\horfoal01,C,32,BOS,51,51,1462,279,535,.521,58,162,.358,221,373,.592,.576,43,54,.796,98,251,349,204,45,73,77,97,659
229,Danuel House\houseda01,SF,25,HOU,25,12,620,71,155,.458,39,100,.390,32,55,.582,.584,45,55,.818,20,69,89,26,14,10,23,45,226
230,Dwight Howard\howardw01,C,33,WAS,9,9,230,43,69,.623,0,0,,43,69,.623,.623,29,48,.604,24,59,83,4,7,4,16,34,115
231,Kevin Huerter\huertke01,SG,20,ATL,55,39,1496,188,447,.421,96,247,.389,92,200,.460,.528,35,47,.745,41,136,177,153,48,19,87,111,507
232,Chandler Hutchison\hutchch01,SF,22,CHI,44,14,895,96,209,.459,14,50,.280,82,159,.516,.493,23,38,.605,31,154,185,34,23,6,25,59,229
233,Serge Ibaka\ibakase01,C,29,TOR,58,48,1659,382,726,.526,38,141,.270,344,585,.588,.552,117,151,.775,124,337,461,87,27,73,98,177,919
234,Andre Iguodala\iguodan01,SF,35,GSW,53,11,1259,122,247,.494,41,117,.350,81,130,.623,.577,35,60,.583,36,167,203,174,47,43,39,74,320
235,Ersan Ilyasova\ilyaser01,PF,31,MIL,48,4,852,119,266,.447,41,111,.369,78,155,.503,.524,38,44,.864,71,145,216,41,26,11,36,122,317
236,Joe Ingles\inglejo01,SF,31,UTA,59,59,1852,252,571,.441,126,333,.378,126,238,.529,.552,69,96,.719,20,206,226,295,79,12,131,140,699
237,Brandon Ingram\ingrabr01,SF,21,LAL,49,49,1642,331,675,.490,28,87,.322,303,588,.515,.511,181,270,.670,39,207,246,147,28,29,126,137,871
238,Kyrie Irving\irvinky01,PG,26,BOS,50,50,1635,446,904,.493,127,308,.412,319,596,.535,.564,155,178,.871,58,180,238,345,81,24,130,116,1174
239,Jonathan Isaac\isaacjo01,PF,21,ORL,56,45,1473,186,439,.424,55,178,.309,131,261,.502,.486,91,107,.850,68,230,298,54,46,76,58,111,518
240,Wesley Iwundu\iwundwe01,SF,24,ORL,48,12,832,79,194,.407,19,55,.345,60,139,.432,.456,62,78,.795,25,96,121,41,20,18,31,92,239
241,Demetrius Jackson\jacksde01,PG,24,PHI,6,0,39,8,15,.533,2,6,.333,6,9,.667,.600,4,4,1.000,2,1,3,5,2,0,1,4,22
242,Frank Jackson\jacksfr01,PG,20,NOP,47,7,739,109,266,.410,28,102,.275,81,164,.494,.462,33,44,.750,17,66,83,44,16,1,29,65,279
243,Jaren Jackson\jacksja02,PF,19,MEM,58,56,1515,298,589,.506,51,142,.359,247,447,.553,.549,151,197,.766,73,199,272,64,52,82,98,220,798
244,Josh Jackson\jacksjo02,SG,21,PHO,62,25,1497,266,640,.416,47,162,.290,219,478,.458,.452,108,161,.671,53,206,259,144,63,39,143,162,687
245,Justin Jackson\jacksju01,SF,23,TOT,59,3,1156,136,325,.418,59,172,.343,77,153,.503,.509,44,53,.830,26,127,153,71,24,13,23,71,375
245,Justin Jackson\jacksju01,SF,23,SAC,52,3,1083,125,295,.424,55,159,.346,70,136,.515,.517,41,50,.820,25,121,146,68,23,13,22,67,346
245,Justin Jackson\jacksju01,SF,23,DAL,7,0,73,11,30,.367,4,13,.308,7,17,.412,.433,3,3,1.000,1,6,7,3,1,0,1,4,29
246,Reggie Jackson\jacksre01,PG,28,DET,59,59,1712,306,736,.416,121,335,.361,185,401,.461,.498,160,182,.879,34,128,162,262,41,6,105,164,893
247,LeBron James\jamesle01,SF,34,LAL,42,42,1481,413,810,.510,84,242,.347,329,568,.579,.562,214,316,.677,44,324,368,327,60,27,148,69,1124
248,Amile Jefferson\jeffeam01,PF,25,ORL,5,0,20,1,4,.250,0,0,,1,4,.250,.250,4,4,1.000,2,5,7,0,1,0,0,3,6
249,John Jenkins\jenkijo01,SG,27,TOT,9,0,92,15,30,.500,6,15,.400,9,15,.600,.600,2,3,.667,2,7,9,5,0,0,2,0,38
249,John Jenkins\jenkijo01,SG,27,WAS,4,0,14,2,2,1.000,2,2,1.000,0,0,,1.500,0,0,,0,1,1,1,0,0,0,0,6
249,John Jenkins\jenkijo01,SG,27,NYK,5,0,78,13,28,.464,4,13,.308,9,15,.600,.536,2,3,.667,2,6,8,4,0,0,2,0,32
250,Jonas Jerebko\jerebjo01,PF,31,GSW,55,6,986,131,279,.470,54,152,.355,77,127,.606,.566,51,62,.823,64,187,251,80,17,11,36,110,367
251,Alize Johnson\johnsal02,PF,22,IND,11,0,32,2,10,.200,1,2,.500,1,8,.125,.250,1,4,.250,1,7,8,0,0,1,0,3,6
252,Amir Johnson\johnsam01,C,31,PHI,38,2,358,56,105,.533,9,25,.360,47,80,.588,.576,23,30,.767,26,69,95,45,11,8,33,74,144
253,James Johnson\johnsja01,PF,31,MIA,41,33,854,124,289,.429,38,108,.352,86,181,.475,.495,34,47,.723,16,114,130,95,27,19,54,83,320
254,Stanley Johnson\johnsst04,SF,22,TOT,54,7,1038,141,376,.375,52,190,.274,89,186,.478,.444,41,52,.788,31,159,190,67,51,13,62,102,375
254,Stanley Johnson\johnsst04,SF,22,DET,48,7,961,133,349,.381,51,181,.282,82,168,.488,.454,41,51,.804,25,150,175,60,48,13,55,92,358
254,Stanley Johnson\johnsst04,SF,22,NOP,6,0,77,8,27,.296,1,9,.111,7,18,.389,.315,0,1,.000,6,9,15,7,3,0,7,10,17
255,Tyler Johnson\johnsty01,PG-SG,26,TOT,50,15,1308,194,463,.419,82,230,.357,112,233,.481,.508,74,103,.718,25,120,145,135,49,24,69,87,544
255,Tyler Johnson\johnsty01,PG,26,MIA,44,10,1123,171,401,.426,72,204,.353,99,197,.503,.516,61,88,.693,19,102,121,112,40,21,63,72,475
255,Tyler Johnson\johnsty01,SG,26,PHO,6,5,185,23,62,.371,10,26,.385,13,36,.361,.452,13,15,.867,6,18,24,23,9,3,6,15,69
256,Wesley Johnson\johnswe01,SF,31,TOT,32,13,485,43,112,.384,23,66,.348,20,46,.435,.487,10,16,.625,12,54,66,22,14,11,17,57,119
256,Wesley Johnson\johnswe01,SF,31,NOP,26,13,377,35,88,.398,19,50,.380,16,38,.421,.506,6,9,.667,10,44,54,16,12,7,12,45,95
256,Wesley Johnson\johnswe01,SF,31,WAS,6,0,108,8,24,.333,4,16,.250,4,8,.500,.417,4,7,.571,2,10,12,6,2,4,5,12,24
257,Nikola Jokic\jokicni01,C,23,DEN,59,59,1860,457,909,.503,67,212,.316,390,697,.560,.540,238,282,.844,166,467,633,454,83,38,191,169,1219
258,Damian Jones\jonesda03,C,23,GSW,24,22,410,53,74,.716,0,0,,53,74,.716,.716,24,37,.649,31,44,75,28,12,25,16,63,130
259,Derrick Jones\jonesde02,SF,21,MIA,39,5,712,109,214,.509,20,56,.357,89,158,.563,.556,47,75,.627,69,96,165,19,31,28,25,77,285
260,Jalen Jones\jonesja04,SF,25,CLE,16,0,214,26,62,.419,10,28,.357,16,34,.471,.500,19,27,.704,11,23,34,7,9,2,8,27,81
261,Tyus Jones\jonesty01,PG,22,MIN,46,7,950,102,260,.392,23,80,.288,79,180,.439,.437,36,44,.818,13,66,79,188,61,4,30,48,263
262,DeAndre Jordan\jordade01,C,30,TOT,58,58,1768,243,375,.648,0,0,,243,375,.648,.648,159,231,.688,189,593,782,116,36,63,124,145,645
262,DeAndre Jordan\jordade01,C,30,DAL,50,50,1554,208,323,.644,0,0,,208,323,.644,.644,135,198,.682,161,525,686,99,33,53,111,125,551
262,DeAndre Jordan\jordade01,C,30,NYK,8,8,214,35,52,.673,0,0,,35,52,.673,.673,24,33,.727,28,68,96,17,3,10,13,20,94
263,Cory Joseph\josepco01,PG,27,IND,61,3,1557,185,419,.442,46,140,.329,139,279,.498,.496,21,32,.656,29,192,221,238,63,12,67,94,437
264,Frank Kaminsky\kaminfr01,C,25,CHO,26,0,281,49,102,.480,16,46,.348,33,56,.589,.559,22,35,.629,19,43,62,27,5,5,18,26,136
265,Enes Kanter\kanteen01,C,26,TOT,47,23,1187,268,496,.540,7,23,.304,261,473,.552,.547,114,139,.820,180,304,484,90,19,17,83,115,657
265,Enes Kanter\kanteen01,C,26,NYK,44,23,1128,251,468,.536,7,22,.318,244,446,.547,.544,105,129,.814,171,290,461,84,18,17,79,106,614
265,Enes Kanter\kanteen01,C,26,POR,3,0,59,17,28,.607,0,1,.000,17,27,.630,.607,9,10,.900,9,14,23,6,1,0,4,9,43
266,Luke Kennard\kennalu01,SG,22,DET,41,10,867,136,315,.432,62,160,.388,74,155,.477,.530,29,38,.763,8,109,117,60,18,8,33,57,363
267,Michael Kidd-Gilchrist\kiddgmi01,PF,25,CHO,53,1,1039,145,302,.480,11,40,.275,134,262,.511,.498,92,119,.773,83,138,221,49,27,37,40,137,393
268,George King\kingge03,SF,25,PHO,1,0,6,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
269,Maxi Kleber\klebima01,PF,27,DAL,54,16,1064,128,285,.449,55,165,.333,73,120,.608,.546,41,52,.788,62,152,214,43,28,63,40,105,352
